ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11567305,JC117495,1/15/2019 9:00,019XX W 65TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,726,7,15,67,14,1164382,1861554,2019,1/23/2019 11:26,41.77571806,-87.67294267,"(41.775718064, -87.672942665)"
11567307,JC116369,1/14/2019 11:23,070XX S HALSTED ST,5011,OTHER OFFENSE,LICENSE VIOLATION,GROCERY FOOD STORE,TRUE,FALSE,732,7,6,68,26,1172186,1858083,2019,1/23/2019 11:26,41.76602521,-87.64443592,"(41.766025213, -87.644435915)"
11567308,JC117554,1/14/2019 11:00,073XX S HALSTED ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,TRUE,FALSE,733,7,6,68,16,1172235,1856292,2019,1/23/2019 11:26,41.76110941,-87.6443089,"(41.761109412, -87.644308897)"
11567309,JC117579,1/13/2019 10:37,072XX S HALSTED ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,TRUE,FALSE,733,7,6,68,16,1172219,1856867,2019,1/23/2019 11:26,41.76268764,-87.64435066,"(41.762687635, -87.644350659)"
11567310,JC117481,1/14/2019 17:00,008XX W 116TH ST,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,524,5,34,53,26,1172792,1827933,2019,1/23/2019 11:26,41.68327604,-87.64310081,"(41.683276036, -87.643100807)"
11567317,JC117367,1/7/2019 12:00,0000X N LOTUS AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,TRUE,1522,15,29,25,26,1139949,1899865,2019,1/18/2019 9:37,41.88132929,-87.76157833,"(41.881329293, -87.761578328)"
11567318,JC117592,1/12/2019 0:00,102XX S LA SALLE ST,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,FALSE,FALSE,511,5,9,49,2,1177074,1837155,2019,1/23/2019 11:26,41.70848733,-87.62714921,"(41.708487334, -87.627149207)"
11567319,JC117597,1/13/2019 18:30,077XX S DR MARTIN LUTHER KING JR DR,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,624,6,6,69,5,1180244,1853866,2019,1/23/2019 11:26,41.75427242,-87.6150298,"(41.754272418, -87.615029799)"
11567320,JC117375,1/15/2019 3:00,049XX W ADAMS ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1533,15,28,25,7,1143545,1898879,2019,1/23/2019 11:26,41.87855709,-87.7483985,"(41.878557088, -87.748398495)"
11567324,JC117601,1/15/2019 10:46,038XX W ADAMS ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,TRUE,FALSE,1122,11,28,26,18,1150803,1898737,2019,1/23/2019 11:26,41.87802859,-87.7217521,"(41.878028593, -87.721752104)"
11567325,JC113492,1/11/2019 21:10,001XX W 75TH ST,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,RESTAURANT,TRUE,FALSE,623,6,6,69,22,1176570,1855257,2019,1/23/2019 11:23,41.75817287,-87.62845198,"(41.758172871, -87.62845198)"
11567327,JC117607,1/14/2019 17:30,013XX W MONROE ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1224,12,27,28,6,1167576,1899683,2019,1/23/2019 11:26,41.88028,-87.66013846,"(41.880280001, -87.660138458)"
11567331,JC117469,1/15/2019 9:00,082XX S MARYLAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,FALSE,631,6,8,44,08B,1183336,1850642,2019,1/23/2019 11:26,41.74535402,-87.6037989,"(41.745354023, -87.603798903)"
11567332,JC117515,1/15/2019 6:30,036XX W DOUGLAS BLVD,031A,ROBBERY,ARMED: HANDGUN,ALLEY,FALSE,FALSE,1011,10,24,29,3,1152170,1893209,2019,1/23/2019 11:26,41.86283231,-87.71687854,"(41.862832306, -87.716878538)"
11567333,JC117599,1/10/2019 23:00,071XX S MAY ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,TRUE,733,7,6,68,14,1169888,1857397,2019,1/18/2019 9:37,41.76419294,-87.65287877,"(41.764192939, -87.652878769)"
11567334,JC117595,1/14/2019 16:30,041XX N KEDVALE AVE,820,THEFT,$500 AND UNDER,SPORTS ARENA/STADIUM,FALSE,FALSE,1722,17,39,16,6,1148105,1927236,2019,1/23/2019 11:26,41.95628492,-87.73092357,"(41.956284921, -87.730923574)"
11567335,JC117624,1/13/2019 15:00,103XX S CRANDON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,434,4,7,51,14,1193525,1836875,2019,1/23/2019 11:26,41.70733298,-87.56691442,"(41.707332976, -87.566914415)"
11567336,JC117566,1/15/2019 7:30,013XX W OHIO ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,OTHER,FALSE,TRUE,1215,12,1,24,26,1167243,1904134,2019,1/23/2019 11:26,41.89250103,-87.66123319,"(41.892501034, -87.661233186)"
11567339,JC117586,1/15/2019 10:55,062XX S MICHIGAN AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,TRUE,311,3,20,40,26,1178263,1863570,2019,1/23/2019 11:26,41.7809464,-87.62199537,"(41.780946398, -87.621995369)"
11567340,JC117565,1/15/2019 10:32,122XX S SANGAMON ST,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,TRUE,524,5,34,53,6,1172211,1823609,2019,1/23/2019 11:26,41.67142302,-87.64535403,"(41.671423021, -87.645354025)"
11567341,JC117517,1/15/2019 9:16,023XX E 95TH ST,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,TRUE,FALSE,413,4,7,51,24,1193445,1842428,2019,1/23/2019 11:26,41.72257291,-87.56702638,"(41.722572912, -87.567026384)"
11567346,JC117639,1/14/2019 18:00,019XX N DAMEN AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1434,14,32,22,6,1162713,1913233,2019,1/23/2019 11:26,41.91756553,-87.67761455,"(41.917565528, -87.67761455)"
11567347,JC117627,1/14/2019 18:30,047XX W 47TH ST,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,815,8,14,56,6,1145708,1873053,2019,1/23/2019 11:26,41.80764629,-87.74111021,"(41.807646291, -87.741110208)"
11567348,JC117640,1/15/2019 11:10,015XX N MILWAUKEE AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1424,14,1,24,6,1163416,1910072,2019,1/23/2019 11:26,41.90887675,-87.67512084,"(41.908876749, -87.675120839)"
11567352,JC117563,1/15/2019 9:45,031XX W WALNUT ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,1222,12,27,27,08B,1155337,1901461,2019,1/23/2019 11:26,41.88541366,-87.70503102,"(41.885413657, -87.705031022)"
11567353,JC117551,1/14/2019 15:15,063XX W 56TH ST,460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,811,8,13,56,08B,1135110,1866750,2019,1/23/2019 11:26,41.79054357,-87.78013033,"(41.79054357, -87.780130326)"
11567356,JC117578,1/12/2019 13:00,089XX S PHILLIPS AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,423,4,7,48,08B,1194054,1846095,2019,1/23/2019 11:26,41.7326206,-87.56467579,"(41.732620598, -87.564675794)"
11567358,JC117604,1/15/2019 4:30,062XX S CALIFORNIA AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,823,8,16,66,3,1158780,1863248,2019,1/23/2019 11:26,41.78048286,-87.69343296,"(41.780482856, -87.693432964)"
11567363,JC117450,1/15/2019 8:27,071XX S ABERDEEN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,733,7,6,68,08B,1170216,1857514,2019,1/23/2019 11:26,41.76450688,-87.65167317,"(41.764506875, -87.651673171)"
11567365,JC117576,1/3/2019 23:00,031XX N HALSTED ST,870,THEFT,POCKET-PICKING,STREET,FALSE,FALSE,1934,19,44,6,6,1170368,1921292,2019,1/18/2019 9:37,41.93951575,-87.64925379,"(41.939515748, -87.649253785)"
11567369,JC117431,1/15/2019 7:54,086XX S COTTAGE GROVE AVE,820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,TRUE,FALSE,632,6,6,44,6,1183071,1847869,2019,1/23/2019 11:26,41.73775077,-87.60485591,"(41.737750767, -87.604855911)"
